city,colonia,point_kind,lat,lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon,bbox_span_lat_deg,bbox_span_lon_deg,n_samples
gdl,La Loma,centroid,20.659898,-103.321979,20.659898,-103.321979,20.659898,-103.321979,0.0,0.0,1
gdl,Fábrica de Atemajac,centroid,20.713753,-103.358696,20.713753,-103.358696,20.713753,-103.358696,0.0,0.0,1
gdl,Jardines de San José,centroid,20.633496,-103.386464,20.632087,-103.389646,20.634905,-103.383281,0.002818,0.006365,4
gdl,Libertad,centroid,20.670979,-103.298523,20.670979,-103.298523,20.670979,-103.298523,0.0,0.0,1
gdl,La Cruz,centroid,20.640657,-103.38861,20.640657,-103.38861,20.640657,-103.38861,0.0,0.0,1
gdl,Jardines de La Cruz,centroid,20.644242,-103.376584,20.644242,-103.376584,20.644242,-103.376584,0.0,0.0,1
gdl,Independencia Oriente,centroid,20.689423,-103.333075,20.689423,-103.333075,20.689423,-103.333075,0.0,0.0,3
gdl,Blanco y Cuellar,centroid,20.680137,-103.302953,20.675633,-103.304466,20.682389,-103.302196,0.006756,0.00227,6
gdl,Analco,centroid,20.666809,-103.341194,20.665697,-103.342724,20.668424,-103.34068,0.002727,0.002044,7
gdl,La Paz,centroid,20.647228,-103.307741,20.646863,-103.3082,20.647958,-103.306823,0.001095,0.001376,6
gdl,8 de Julio,centroid,20.644864,-103.35397,20.644864,-103.35397,20.644864,-103.35397,0.0,0.0,2
gdl,Lomas de Polanco,centroid,20.631142,-103.371984,20.629554,-103.379471,20.63273,-103.364497,0.003176,0.014974,4
gdl,Ferrocarril,centroid,20.647189,-103.348585,20.644504,-103.352343,20.649875,-103.344827,0.005371,0.007516,4
gdl,Lomas Independencia,centroid,20.691629,-103.323632,20.690195,-103.324326,20.693063,-103.322937,0.002869,0.001389,4
gdl,Aldama Tetlán,centroid,20.658137,-103.271185,20.658137,-103.271185,20.658137,-103.271185,0.0,0.0,2
gdl,Colinas de Huentitán,centroid,20.72493,-103.300211,20.72201,-103.303757,20.726855,-103.294377,0.004846,0.009379,8
gdl,Del Periodista,centroid,20.660958,-103.333939,20.660604,-103.33437,20.661312,-103.333509,0.000708,0.000861,4
gdl,San Miguel de Huentitán,centroid,20.711032,-103.291469,20.708128,-103.294361,20.712528,-103.28831,0.0044,0.006051,6
gdl,Panorámica de Huentitán,centroid,20.7346,-103.308898,20.7346,-103.308898,20.7346,-103.308898,0.0,0.0,2
gdl,San Isidro,centroid,20.675949,-103.298875,20.675949,-103.298875,20.675949,-103.298875,0.0,0.0,2
gdl,Jardines de Los Historiadores,centroid,20.645756,-103.283985,20.645756,-103.283985,20.645756,-103.283985,0.0,0.0,2
gdl,Circunvalación Oblatos,centroid,20.687605,-103.299964,20.687181,-103.300881,20.688878,-103.299658,0.001698,0.001223,8
gdl,San Martin,centroid,20.690921,-103.306303,20.690921,-103.306303,20.690921,-103.306303,0.0,0.0,2
gdl,Santa Elena Alcalde,centroid,20.710432,-103.346339,20.710432,-103.346339,20.710432,-103.346339,0.0,0.0,4
gdl,Las Torres,centroid,20.655574,-103.377712,20.655574,-103.377712,20.655574,-103.377712,0.0,0.0,2
gdl,San Carlos,centroid,20.656842,-103.340297,20.656842,-103.340297,20.656842,-103.340297,0.0,0.0,2
gdl,El Álamo,centroid,20.623679,-103.333812,20.623679,-103.333812,20.623679,-103.333812,0.0,0.0,2
gdl,Insurgentes,centroid,20.647354,-103.278861,20.647354,-103.278861,20.647354,-103.278861,0.0,0.0,2
gdl,San Vicente,centroid,20.702157,-103.313724,20.702157,-103.313724,20.702157,-103.313724,0.0,0.0,2
gdl,El Carmen,centroid,20.620096,-103.38322,20.620096,-103.38322,20.620096,-103.38322,0.0,0.0,2
gdl,Talpita,centroid,20.684063,-103.307766,20.684063,-103.307766,20.684063,-103.307766,0.0,0.0,2
gdl,La Esperanza (La Federacha),centroid,20.709538,-103.307959,20.709538,-103.307959,20.709538,-103.307959,0.0,0.0,2
gdl,Del Sur,centroid,20.649955,-103.367551,20.649955,-103.367551,20.649955,-103.367551,0.0,0.0,2
gdl,San Bernardo,centroid,20.698754,-103.360754,20.698754,-103.360754,20.698754,-103.360754,0.0,0.0,2
zap,Mirador del Sol,centroid,20.651654,-103.420301,20.647873,-103.42439,20.655988,-103.418046,0.008115,0.006344,40
zap,La Cima,centroid,20.750249,-103.411933,20.745341,-103.415915,20.756088,-103.408788,0.010747,0.007127,66
zap,Valle Imperial,centroid,20.780228,-103.43708,20.771634,-103.443457,20.79341,-103.428781,0.021776,0.014676,474
zap,Valle Imperial,bbox_quadrant,20.777078,-103.439788,20.771634,-103.443457,20.79341,-103.428781,0.021776,0.014676,474
zap,Valle Imperial,bbox_quadrant,20.777078,-103.43245,20.771634,-103.443457,20.79341,-103.428781,0.021776,0.014676,474
zap,Valle Imperial,bbox_quadrant,20.787966,-103.439788,20.771634,-103.443457,20.79341,-103.428781,0.021776,0.014676,474
zap,Valle Imperial,bbox_quadrant,20.787966,-103.43245,20.771634,-103.443457,20.79341,-103.428781,0.021776,0.014676,474
zap,Jardín Real,centroid,20.736223,-103.435336,20.729948,-103.449638,20.74185,-103.426542,0.011902,0.023096,115
zap,Jardín Real,bbox_quadrant,20.732923,-103.443864,20.729948,-103.449638,20.74185,-103.426542,0.011902,0.023096,115
